[rank=70, song=Flex, lastweek=0, imagesrc=null, artist=Polo G Featuring Juice WRLD]
[rank=71, song=Black Parade, lastweek=0, imagesrc=null, artist=Beyonce]
[rank=72, song=Need It, lastweek=0, imagesrc=null, artist=Migos Featuring YoungBoy Never Broke Again]
[rank=73, song=One Of Them Girls, lastweek=0, imagesrc=null, artist=Lee Brice]
[rank=74, song=Yo Perreo Sola, lastweek=0, imagesrc=null, artist=Bad Bunny]
[rank=75, song=Know My Rights, lastweek=0, imagesrc=null, artist=6LACK Featuring Lil Baby]
[rank=76, song=Cool Again, lastweek=0, imagesrc=null, artist=Kane Brown]
[rank=77, song=Past Life, lastweek=0, imagesrc=null, artist=Trevor Daniel x Selena Gomez]
[rank=78, song=ily, lastweek=0, imagesrc=null, artist=surf mesa Featuring Emilee]
[rank=79, song=Daisies, lastweek=0, imagesrc=null, artist=Katy Perry]
[rank=80, song=Go!, lastweek=0, imagesrc=null, artist=Kid LAROI & Juice WRLD]
[rank=81, song=Dollaz On My Head, lastweek=0, imagesrc=null, artist=Gunna Featuring Young Thug]
[rank=82, song=More Than My Hometown, lastweek=0, imagesrc=null, artist=Morgan Wallen]
[rank=83, song=One Night Standards, lastweek=0, imagesrc=null, artist=Ashley McBryde]
[rank=84, song=Grace, lastweek=0, imagesrc=null, artist=Lil Baby & 42 Dugg]
[rank=85, song=Believe It, lastweek=0, imagesrc=null, artist=PARTYNEXTDOOR & Rihanna]
[rank=86, song=Bang!, lastweek=0, imagesrc=null, artist=AJR]
[rank=87, song=21, lastweek=0, imagesrc=null, artist=Polo G]
[rank=88, song=One Beer, lastweek=0, imagesrc=null, artist=HARDY Featuring Lauren Alaina & Devin Dawson]
[rank=89, song=In Your Eyes, lastweek=0, imagesrc=null, artist=The Weeknd]
[rank=90, song=Girl Of My Dreams, lastweek=0, imagesrc=null, artist=Rod Wave]
[rank=91, song=Do It, lastweek=0, imagesrc=null, artist=Chloe X Halle]
[rank=92, song=Stick That In Your Country Song, lastweek=0, imagesrc=null, artist=Eric Church]
[rank=93, song=Lovin' On You, lastweek=0, imagesrc=null, artist=Luke Combs]
[rank=94, song=Pretty Heart, lastweek=0, imagesrc=null, artist=Parker McCollum]
[rank=95, song=Righteous, lastweek=0, imagesrc=null, artist=Juice WRLD]
[rank=96, song=Rags2Riches, lastweek=0, imagesrc=null, artist=Rod Wave Featuring ATR Son Son]
[rank=97, song=My Truck, lastweek=0, imagesrc=null, artist=Breland]
[rank=98, song=X, lastweek=0, imagesrc=null, artist=Jonas Brothers Featuring Karol G]
[rank=99, song=I Called Mama, lastweek=0, imagesrc=null, artist=Tim McGraw]
[rank=100, song=Shotta Flow 5, lastweek=0, imagesrc=null, artist=NLE Choppa]
